DepartamentoCodigo	MateriaCodigo	MateriaDescripcion	totalProfesores	conTituloCompatible	conTituloYFormacionCompatible
-1	1317	TORNO                                             	1	0	0
-1	1360	ARTES Y SUS TECNOLOGIAS                           	1	0	0
-1	1380	LABORATORIO DE CIENC. BASIC. Y FUND. DE BIOSEGURID	5	3	3
-1	1397	FRUTICULTURA-SILVICULTURA                         	5	2	0
-1	1398	FRUTICULTURA-SILVICULTURA-HORTICULTURA            	202	105	23
-1	1399	AGRICULTURA Y PASTURA                             	198	98	19
-1	1400	SISTEMA DE TRANSMISIÓN                            	2	0	0
-1	1401	PLANIFICACION Y GESTION DE UN TALLER A            	2	0	0
-1	1402	ELECTROHIDRAÚLICA                                 	1	0	0
-1	1403	FILOSOFIA Y ANTROPOLOGÍA SOCIAL                   	3262	259	220
-1	1404	ORIENT.EDUC.Y SOCIOLABORAL SERV.SOCIAL Y PROD.COMU	5285	712	485
-1	1405	INVESTIGACIÓN SOCIAL Y ESTADÍSTICA                	3035	1908	1633
-1	1406	AGROECOLOGIA-METEROLOGÍA-BIOLOGIA GRAL.           	74	18	5
-1	1407	ADMIN.RECURSOS NATUR.GEOLOGICOS Y EDAFOLOGICOS    	63	0	0
-1	1408	LEGISLACIÓN AMBIENTAL-EVAL. IMPACTO AMBIENTAL     	64	21	10
-1	1409	METOD.DE LA INVEST. SOCIOLOGIA.RURAL Y URBANA     	63	27	22
-1	1410	DISEÑO Y ELAB. DE PROY.ECONOMÍA AMBIENTAL         	52	0	0
-1	1411	INSTRUMENTAL Y GEODESIA                           	2	2	0
-1	1414	DERECHO DE FAMILIA                                	1	0	0
-1	1416	CONTABILIDAD Y LEGISLACIÓN APLICADA               	644	510	343
-1	1417	TURISMO Y ECOTURISMO                              	19	11	2
-1	1418	ENFERMERÍA Y PRÁCTICA                             	156	112	21
-1	1419	SALUD PÚBLICA Y COMUNITARIA                       	182	98	23
-1	1420	DISEÑO.PROYECT.YPRESUP.Y ANALISIS DE PRODUCTOS    	5	0	0
-1	1421	PLANEAM.                                          	5	1	0
-1	1422	ENTRENAMIENTO OPERACIONAL                         	7	0	0
-1	1423	TALLER MECANICO.-SEG.e HIG.-ELECTROTECNIA         	4	1	0
-1	1424	TALLER AUTOMOTRIZ-SEGURIDAD e HIGIENE             	14	10	4
-1	1425	INSTALACIÓN INDUSTRIAL -CÁLCULOS MECÁNICOS        	22	3	0
-1	1426	TALLER MECÁNICO -MANTEN. MECAN.Y TECN. MATERIALES 	16	7	1
-1	1427	DIBUJO                                            	7	0	0
-1	1428	LABORAT. Y TECNOL.(MATE.YTECN.DE CONST Y LABORAT.)	48	12	3
-1	1429	TALLER DE MECÁNICA-SEGURIDAD e HIGIENE            	32	9	5
-1	1435	GEOLOGIA Y EDUCACION AMBIENTAL Y SALUD            	742	50	39
-1	1436	TRABAJO ARTESANALES                               	4	0	0
-1	1437	EQUIPOS ARTESANALES                               	2	0	0
-1	1438	MODELAJE E INFORMATICA                            	3	0	0
-1	1439	PROYECTO Y DIBUJO TECNICO                         	42	28	10
-1	1440	TALLER E INSTALACIONES                            	38	0	0
-1	1442	TECNOLOG. ALTERNATIVA-INDUST. ALIMENT. Y ORGANICAS	24	0	0
-1	1480	HIDROLOGIA                                        	2	0	0
-1	1485	METACOGNICION COMO ESTRAT. PARA EL MEJORAMIENTO   	1	0	0
-1	1486	LOGICA MATEMATICA Y ESTADISTICA                   	673	536	452
-1	1489	QUIMICA INORGANICA Y ORGANICA                     	4	3	3
-1	1590	DISEÑO MECANICO                                   	1	0	0
0	4	COMUNICACION SOCIAL/MEDIOS DE COMUN. SOCIAL       	2	0	0
0	5	HISTORIA Y GEOGRAFIA                              	332	249	199
0	6	PROYECTO EDUCATIVO/INSTITUCIONAL/ELABORACION      	1	0	0
0	7	PROYECTO EDUCATIVO COMUNITARIO/PARTIC. COMUNITARIA	4	1	1
0	10	INVESTIGACION CIENTIF/SOCIAL/INICIACION/DIDACT/ACC	4	3	1
0	12	RELIGION / CATEQUESIS/ ESTUDIO BIBLICO            	13	7	5
0	13	CIENCIAS DE LA NATURALEZA Y SALUD                 	316	141	138
0	19	EXPRESION MUSICAL O LENGUAJE MUSICAL              	1	0	0
0	23	ADMINISTRACION FINANCIERA                         	52	2	1
0	28	ADMINISTRACION DE EMPRESAS                        	157	144	91
0	29	DANZA PARAGUAYA/DANZA Y SU DIDACTICA              	2	1	0
0	38	EDUCACION/FORMACION ETICA Y CIUDADANA             	371	229	192
0	39	SOCIOLOGIA Y ANTROPOLOGIA CULTURAL                	154	28	21
0	47	ALEMAN                                            	9	7	3
0	48	TEATRO                                            	2	2	2
0	49	ALGORITMIA/ALGORITMICA                            	57	45	17
0	56	ANATOMIA Y FISIOLOGIA                             	9	2	2
0	60	ANALISIS DE ALIMENTOS                             	1	0	0
0	66	ANALISIS INSTRUMENTAL                             	4	0	0
0	67	ANALISIS INDUSTRIAL                               	2	0	0
0	75	ARTES PLASTICAS/ARTES PLASTICAS Y SUS DIDACTICAS  	1	1	1
0	84	CARTONERIA                                        	1	0	0
0	102	SALUD (EDUC SANITARIA/EDUC P SALUD)               	12	2	2
0	110	BIOLOGIA                                          	64	41	34
0	139	CALCULO MERCANTILES Y FINANCIEROS                 	111	101	82
0	142	COMPUTACION                                       	2	2	0
0	152	REDACCION COMERCIAL                               	23	19	18
0	154	INSTALACIONES NEUMATICA-HIDRAULICAS               	2	2	0
0	167	CENTRALES Y REDES                                 	2	0	0
0	185	CONTABILIDAD/CONTABILIDAD GENERAL                 	21	18	14
0	190	COMUNICACION/PRINCIPIOS                           	2	1	1
0	192	CONTABILIDAD Y GABINETE DE GESTION                	109	108	75
0	198	CULTURA RELIGIOSA                                 	30	14	12
0	230	DIBUJO TECNICO                                    	46	12	5
0	233	EDUCACION AMBIENTAL Y SALUD                       	2	0	0
0	260	DISEÑO                                            	1	0	0
0	261	DISEÑO Y PROYECTO                                 	1	0	0
0	270	ECONOMIA/NOCIONES                                 	94	79	56
0	283	EDUCACION ARTISTICA/ARTES/EDUC. PARA EL ARTE      	262	163	155
0	286	PERIODISMO                                        	4	3	2
0	288	EDUCACION CRISTIANA                               	5	1	0
0	293	EDUCACION FISICA/Y SUS TECNOLOGIAS/TEORÍA Y PRÁCT.	326	321	301
0	300	LENGUA ESPAÑOLA (CASTELLANA)/MATERNA              	1	1	0
0	302	DESARROLLO COMUNITARIO                            	1	0	0
0	310	ECONOMIA Y GESTION                                	257	187	146
0	314	DISEÑO Y PROYECTO MECANICO                        	2	0	0
0	318	CIENCIAS POLITICAS                                	1	0	0
0	320	ELECTRONICA                                       	2	0	0
0	321	ELECTRONICA DIGITAL                               	8	7	1
0	322	ELECTRONICA INDUSTRIAL                            	6	5	0
0	323	ELECTROTECNIA                                     	8	4	0
0	327	FOTOGRAMETRIA(CLAS. DE CAMPO                      	1	1	0
